Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,"GO:0060071~Wnt signaling pathway, planar cell polarity pathway",17,2.335164835,7.84E-07,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,92,16792,4.556342974,0.002216501,1.48E-04,1.46E-04
GOTERM_BP_DIRECT,GO:0050852~T cell receptor signaling pathway,21,2.884615385,2.23E-06,"O43242, P55036, P62191, Q6A1A2, Q06323, P28072, P35998, O00487, P56945, P62333, P62195, P06241, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200, Q13153",681,148,16792,3.498749851,0.006297044,3.95E-04,3.89E-04
GOTERM_BP_DIRECT,GO:0050821~protein stabilization,20,2.747252747,2.41E-06,"P56645, P50991, Q86Y82, P29590, P38936, Q99623, P17987, P35232, Q99653, P54709, Q99497, P78371, Q32P28, P49368, P42771, P40227, P10809, Q13043, Q14254, P05026",681,136,16792,3.626155308,0.006794993,4.01E-04,3.95E-04
GOTERM_BP_DIRECT,GO:0030198~extracellular matrix organization,24,3.296703297,4.68E-06,"P02452, P05556, P06756, P28300, P12109, Q16832, P20908, P35613, P11047, P14136, Q01955, P16144, P23229, Q13162, P08123, Q15582, Q14031, P24821, P39060, P09486, P05121, P07996, P02751, P26006",681,196,16792,3.019329318,0.01316221,7.36E-04,7.25E-04
GOTERM_BP_DIRECT,GO:0033209~tumor necrosis factor-mediated signaling pathway,18,2.472527473,5.31E-06,"O43242, P55036, P62191, Q06323, P28072, P35998, O00487, P42224, P62333, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200",681,118,16792,3.761367879,0.014919908,7.91E-04,7.79E-04
GOTERM_BP_DIRECT,GO:0042776~mitochondrial ATP synthesis coupled proton transport,8,1.098901099,1.22E-05,"O75947, P25705, P24539, P18859, P48047, P56134, P36542, P06576",681,21,16792,9.393468988,0.034056814,0.001732502,0.001705556
GOTERM_BP_DIRECT,GO:0015986~ATP synthesis coupled proton transport,8,1.098901099,1.73E-05,"O75947, P25705, P24539, P18859, P48047, Q7Z3U7, P36542, P06576",681,22,16792,8.966493125,0.047867685,0.002335754,0.002299426
GOTERM_BP_DIRECT,"GO:0006890~retrograde vesicle-mediated transport, Golgi to ER",14,1.923076923,2.38E-05,"P35606, Q9Y678, Q9NP61, P53618, Q9NS87, P54920, P42858, P49755, P48444, Q9BVK6, O14579, P62820, P46459, Q8N6T3",681,82,16792,4.20987787,0.065167968,0.002979187,0.002932851
GOTERM_BP_DIRECT,GO:0000165~MAPK cascade,27,3.708791209,2.42E-05,"P36507, Q13554, P30086, Q06323, P35998, O00487, P62333, P62195, Q7Z333, P06241, Q15121, P25788, P40306, P05230, P61289, Q13200, O43242, P55036, P09619, P62191, Q02750, P28072, P48556, P49721, P49720, P60900, Q13153",681,262,16792,2.541076773,0.066227209,0.002979187,0.002932851
GOTERM_BP_DIRECT,GO:0015031~protein transport,35,4.807692308,3.02E-05,"P02452, Q14764, Q9Y343, P49321, Q9UN37, Q7Z3U7, Q9UID3, Q96E17, Q9H3S7, O00189, P0CG08, O75165, P51149, P20338, Q9UBQ0, Q96AX2, O95716, O15498, P48444, Q9BVK6, A5D8V6, Q6VEQ5, Q9NP72, Q96EY5, Q96A65, P14625, Q9ULC3, Q8TEX9, P31150, Q9NUP9, Q99816, Q567U6, Q92526, O14579, Q8N6T3",681,395,16792,2.184873325,0.081993097,0.003564545,0.003509105
GOTERM_BP_DIRECT,GO:0050900~leukocyte migration,17,2.335164835,3.32E-05,"P02452, P05556, P06756, Q13356, P07947, Q12904, Q06124, P32004, P35613, P23229, P54709, P08195, P06241, P08123, P02751, P05026, P26006",681,122,16792,3.435930767,0.089563368,0.003677611,0.003620413
GOTERM_BP_DIRECT,GO:0016032~viral process,29,3.983516484,3.44E-05,"P30505, O43432, Q9BRP4, P35998, P78406, O95197, Q99567, Q6VY07, P06241, P25788, P40306, Q9UBU9, P49715, Q8WUM0, P40763, Q9Y490, Q07021, O75179, P53618, P28072, P14324, Q05086, P37198, Q8TAE8, Q5SRE5, P49721, P49720, P23497, P10809",681,299,16792,2.391564638,0.092778003,0.003677611,0.003620413
GOTERM_BP_DIRECT,GO:0038095~Fc-epsilon receptor signaling pathway,21,2.884615385,3.64E-05,"O43242, P55036, P62191, Q6A1A2, Q06323, P28072, P35998, O00487, P62333, P16298, P62195, P48556, P25788, P40306, P49721, P61289, P49720, P60900, Q13200, Q13153, Q15750",681,178,16792,2.90907291,0.097818538,0.003677611,0.003620413
GOTERM_BP_DIRECT,GO:0055093~response to hyperoxia,7,0.961538462,3.64E-05,"P02452, Q92769, P22460, P09619, P11802, P38936, P04179",681,17,16792,10.15323486,0.097850466,0.003677611,0.003620413
GOTERM_BP_DIRECT,GO:0007155~cell adhesion,38,5.21978022,5.60E-05,"P02452, Q13895, P06756, Q9Y223, Q96LC7, Q12904, P16615, P50895, P32004, P11047, Q16270, P16144, P23229, O15357, Q15582, Q14031, P39060, Q14254, P07996, O15018, P12109, Q16832, Q86W92, P19022, P20908, P14923, Q13308, P35222, P56945, Q9UEE9, P18206, Q01955, P43121, P24821, O43294, P02751, P26006, P05026",681,459,16792,2.041391136,0.146581347,0.005465538,0.005380532
GOTERM_BP_DIRECT,GO:0051603~proteolysis involved in cellular protein catabolic process,10,1.373626374,1.13E-04,"P17655, P07711, Q9HB40, P07858, P25788, P40306, P49721, P49720, P28072, P60900",681,48,16792,5.137053353,0.273369095,0.010643953,0.010478406
GOTERM_BP_DIRECT,GO:0006754~ATP biosynthetic process,8,1.098901099,1.24E-04,"O75947, P25705, P24539, P18859, P48047, P56134, P36542, P06576",681,29,16792,6.802167198,0.295680456,0.011306497,0.011130645
GOTERM_BP_DIRECT,GO:0006457~protein folding,20,2.747252747,1.31E-04,"Q13356, P50991, Q14697, Q15813, Q9BS26, P14625, Q99471, P17987, Q8NBS9, Q96AY3, P78371, Q32P28, P49368, P27824, Q92526, P40227, P08754, P25685, P45877, P62942",681,180,16792,2.739761788,0.310356821,0.011433095,0.011255274
GOTERM_BP_DIRECT,GO:0006139~nucleobase-containing compound metabolic process,10,1.373626374,1.33E-04,"Q13126, P33316, P17812, P31939, P30085, P00568, Q99808, Q16555, P04818, Q14194",681,49,16792,5.032215529,0.314301526,0.011433095,0.011255274
GOTERM_BP_DIRECT,GO:0055114~oxidation-reduction process,44,6.043956044,1.58E-04,"O15460, Q9BRX8, P28300, P0DN79, Q3SY69, Q9Y2Q3, P82909, P19099, P30041, P30044, Q6NUM9, P50336, O60701, P07195, P31040, Q9UBQ7, Q13162, P49419, Q9UBM7, O75828, Q9UHQ9, Q8NBX0, P51970, Q8TC12, O43169, Q6DKJ4, P52209, P11413, Q96CU9, P78417, Q53H96, P12268, Q8IVL6, P43304, Q53FA7, P16152, P31150, Q02127, P49327, P61457, P49448, Q32P28, Q99714, P04179",681,592,16792,1.832678493,0.360635001,0.013154248,0.012949657
GOTERM_BP_DIRECT,GO:1904871~positive regulation of protein localization to Cajal body,5,0.686813187,1.64E-04,"P17987, P50991, P78371, P49368, P40227",681,8,16792,15.41116006,0.370850972,0.013238548,0.013032646
GOTERM_BP_DIRECT,GO:0034976~response to endoplasmic reticulum stress,12,1.648351648,2.05E-04,"O94874, Q8NBS9, Q13438, P57088, Q9BS26, P14625, P16615, P61960, O14983, Q9Y4L1, P07996, O75460",681,75,16792,3.945256975,0.439455297,0.016077419,0.015827363
GOTERM_BP_DIRECT,GO:0006886~intracellular protein transport,23,3.159340659,2.47E-04,"P35606, Q96L92, Q9Y678, Q9H2M9, Q86Y82, O15397, P56377, Q9NP61, Q92609, P53618, Q9NR31, O00189, Q8TEX9, O43747, P54920, Q8NEV8, Q96QU8, Q0IIM8, Q9UBQ0, P49755, P48444, Q9UMZ2, P46459",681,236,16792,2.403096145,0.503017584,0.018894979,0.018601102
GOTERM_BP_DIRECT,GO:0042493~response to drug,27,3.708791209,2.82E-04,"P02452, Q86V21, P28300, O15067, P11802, P15407, P04818, O00763, P50336, P42224, P21964, P40261, P06241, P39060, Q16555, P07996, P40763, Q92769, P13637, P38936, P35222, P17812, Q02127, P05023, P10809, P26006, P04179",681,304,16792,2.190006956,0.549293385,0.020969117,0.02064298
GOTERM_BP_DIRECT,GO:0007264~small GTPase mediated signal transduction,23,3.159340659,4.41E-04,"Q15811, Q5HYI8, Q6ZSZ5, Q9NP72, Q13905, Q96E17, P10114, P10301, P52306, Q86YS6, Q9ULC3, O95661, Q9Y3L5, P51149, P20338, Q3YEC7, Q99653, P31150, Q96AX2, P08134, O95716, P61026, P62820",681,246,16792,2.30540931,0.712485212,0.031954011,0.031457024
GOTERM_BP_DIRECT,GO:0036376~sodium ion export from cell,5,0.686813187,4.60E-04,"P54709, P13637, P05023, P50993, P05026",681,10,16792,12.32892805,0.728219946,0.032561556,0.03205512
GOTERM_BP_DIRECT,GO:0098609~cell-cell adhesion,24,3.296703297,6.87E-04,"Q14258, Q86W92, P30041, P33176, Q9UPN3, Q9H6S3, Q6WCQ1, P28072, P35613, P42224, Q99497, P08195, P22234, P49327, P31939, Q5T6F2, P55010, O14530, P61026, O15498, Q9NQC3, P25685, P62820, P49207",681,271,16792,2.183721573,0.856936529,0.047409727,0.046672354
GOTERM_BP_DIRECT,GO:0006888~ER to Golgi vesicle-mediated transport,17,2.335164835,7.90E-04,"P35606, Q9Y678, Q9NP61, Q14789, P53618, O43617, Q9Y4L1, P54920, P49755, P48444, O15498, O14653, Q9BVK6, O14579, P62820, P46459, Q8N6T3",681,160,16792,2.61989721,0.893147517,0.053224343,0.052396534
GOTERM_BP_DIRECT,GO:0006164~purine nucleotide biosynthetic process,5,0.686813187,0.00101703,"P00492, O15067, P60891, P31939, P12268",681,12,16792,10.27410671,0.943788995,0.064652672,0.063647117
GOTERM_BP_DIRECT,GO:0030007~cellular potassium ion homeostasis,5,0.686813187,0.00101703,"P54709, P13637, P05023, P50993, P05026",681,12,16792,10.27410671,0.943788995,0.064652672,0.063647117
GOTERM_BP_DIRECT,GO:0030574~collagen catabolic process,10,1.373626374,0.001042136,"P02452, P07711, Q01955, P07339, P12109, P07858, P08123, Q14031, P20908, P39060",681,64,16792,3.852790015,0.947646756,0.064652672,0.063647117
GOTERM_BP_DIRECT,GO:0007005~mitochondrion organization,11,1.510989011,0.001051263,"Q99623, Q00059, Q96TA2, P35232, Q9H5Q4, Q99497, O43464, Q9H0F6, P49715, P30048, P06576",681,77,16792,3.522550871,0.948982536,0.064652672,0.063647117
GOTERM_BP_DIRECT,GO:0006511~ubiquitin-dependent protein catabolic process,18,2.472527473,0.001182938,"Q9UPU5, O43242, P09936, P55036, P35998, O00487, Q05086, Q63HN8, Q9NS56, P61086, O75150, P62333, Q8TEL6, P25788, Q9NZJ0, P45974, P60900, Q16186",681,182,16792,2.438689064,0.964863402,0.071202789,0.070095358
GOTERM_BP_DIRECT,GO:0016192~vesicle-mediated transport,16,2.197802198,0.001302309,"P35606, Q9Y678, Q86Y82, P56377, Q9NP61, Q9UN37, P53618, Q9NR31, O00189, O95197, O43747, P61026, O15498, O14653, P62820, P46459",681,152,16792,2.595563799,0.974943814,0.076754864,0.07556108
GOTERM_BP_DIRECT,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,5,0.686813187,0.001422241,"P54709, P13637, P05023, P50993, P05026",681,13,16792,9.483790805,0.982161259,0.082112629,0.080835515
GOTERM_BP_DIRECT,GO:0006412~translation,22,3.021978022,0.001539521,"P82912, Q9Y2R5, P49591, Q13405, Q9Y399, P23381, P82909, Q7Z2W9, Q9P015, Q8IXM3, Q9Y2R9, Q9NX20, Q9Y3D9, Q9BYD3, Q9BYD2, Q9BZE1, P82675, Q7Z7F7, P49406, Q9HC21, Q16540, P49207",681,253,16792,2.144161399,0.987204491,0.0871061,0.085751322
GOTERM_BP_DIRECT,GO:0007050~cell cycle arrest,15,2.06043956,0.001757649,"Q9Y376, Q6IAA8, O43504, P29590, P38936, Q02750, Q13418, O00213, O75460, Q00534, P00568, Q99816, P42771, Q8N122, P07996",681,141,16792,2.62317618,0.993103664,0.097497843,0.09598144
GOTERM_BP_DIRECT,GO:0006606~protein import into nucleus,9,1.236263736,0.002221609,"P37198, Q99567, O15397, Q7Z4Q2, Q5SRE5, P78406, P55060, Q8WUM0, P40763",681,58,16792,3.826219049,0.998148803,0.120864056,0.118984233
GOTERM_BP_DIRECT,GO:1904874~positive regulation of telomerase RNA localization to Cajal body,5,0.686813187,0.002545295,"P17987, P50991, P78371, P49368, P40227",681,15,16792,8.219285365,0.999260709,0.135861126,0.133748051
GOTERM_BP_DIRECT,GO:0071230~cellular response to amino acid stimulus,8,1.098901099,0.002655792,"P17655, P02452, P12109, Q6IAA8, P08123, O43504, Q14031, Q8N122",681,47,16792,4.197081888,0.999459616,0.139133987,0.136970009
GOTERM_BP_DIRECT,GO:0051289~protein homotetramerization,9,1.236263736,0.002763168,"P00492, P61457, O94925, Q13085, O00763, Q9Y3Z3, P12268, Q96GX9, P04179",681,60,16792,3.698678414,0.999601508,0.142127328,0.139916793
GOTERM_BP_DIRECT,GO:0032543~mitochondrial translation,7,0.961538462,0.002974692,"P82912, Q9NX20, Q9Y2R5, Q9Y399, Q9HD33, Q9Y2R9, Q16540",681,36,16792,4.794583129,0.99978133,0.147638663,0.14534241
GOTERM_BP_DIRECT,GO:1901998~toxin transport,7,0.961538462,0.002974692,"P35606, P17987, P50991, P78371, Q86YS6, P49368, Q92526",681,36,16792,4.794583129,0.99978133,0.147638663,0.14534241
GOTERM_BP_DIRECT,GO:0071786~endoplasmic reticulum tubular network organization,4,0.549450549,0.003178033,"Q9NP72, P61026, Q9NQC3, O95197",681,8,16792,12.32892805,0.999877202,0.155011321,0.152600399
GOTERM_BP_DIRECT,GO:1901800~positive regulation of proteasomal protein catabolic process,5,0.686813187,0.003286073,"O75150, P62333, P62195, P62191, P35998",681,16,16792,7.705580029,0.999909631,0.157564426,0.155113795
GOTERM_BP_DIRECT,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,7,0.961538462,0.003937516,"P06756, P23229, Q9NR09, P42858, Q99497, P61289, P07996",681,38,16792,4.542236649,0.999985785,0.185653885,0.182766373
GOTERM_BP_DIRECT,GO:0006891~intra-Golgi vesicle-mediated transport,6,0.824175824,0.00412784,"P35606, P53618, O14653, O14579, P54920, P46459",681,27,16792,5.479523576,0.999991721,0.186403074,0.183503909
GOTERM_BP_DIRECT,GO:0006400~tRNA modification,6,0.824175824,0.00412784,"Q9UJA5, Q8WWH5, Q08J23, Q5VV42, Q5JTZ9, Q9NXG2",681,27,16792,5.479523576,0.999991721,0.186403074,0.183503909
GOTERM_BP_DIRECT,GO:0034599~cellular response to oxidative stress,9,1.236263736,0.004151076,"O75569, Q7Z333, Q99497, O43464, P16615, P11413, O95793, P30048, Q8TCS8",681,64,16792,3.467511013,0.99999225,0.186403074,0.183503909
GOTERM_BP_DIRECT,GO:0042542~response to hydrogen peroxide,8,1.098901099,0.004253701,"P02452, P42224, P22460, P09619, P15407, P10809, P30048, P04179",681,51,16792,3.867898995,0.99999421,0.188026893,0.185102473
GOTERM_BP_DIRECT,GO:0016477~cell migration,16,2.197802198,0.00432468,"Q9UPU5, P05556, P06756, P09619, P19022, P20908, P14923, Q6A1A2, Q13308, P13796, P11047, P56945, Q8WX93, P06241, P62820, P07996",681,172,16792,2.293754055,0.999995267,0.18822339,0.185295914
GOTERM_BP_DIRECT,GO:0010950~positive regulation of endopeptidase activity,4,0.549450549,0.004624366,"P61289, Q06323, O00487, Q16186",681,9,16792,10.95904715,0.999997981,0.189599007,0.186650135
GOTERM_BP_DIRECT,GO:1904851~positive regulation of establishment of protein localization to telomere,4,0.549450549,0.004624366,"P17987, P50991, P78371, P40227",681,9,16792,10.95904715,0.999997981,0.189599007,0.186650135
GOTERM_BP_DIRECT,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,4,0.549450549,0.004624366,"P62333, P62195, P62191, P35998",681,9,16792,10.95904715,0.999997981,0.189599007,0.186650135
GOTERM_BP_DIRECT,GO:0086009~membrane repolarization,4,0.549450549,0.004624366,"P54709, P05023, P50993, P05026",681,9,16792,10.95904715,0.999997981,0.189599007,0.186650135
GOTERM_BP_DIRECT,GO:1903416~response to glycoside,3,0.412087912,0.004780454,"P13637, P05023, P50993",681,3,16792,24.65785609,0.999998704,0.193198637,0.19019378
GOTERM_BP_DIRECT,GO:0006103~2-oxoglutarate metabolic process,5,0.686813187,0.005180731,"Q6YP21, P00505, P17174, P82909, P48735",681,18,16792,6.849404471,0.999999585,0.206426602,0.203216008
GOTERM_BP_DIRECT,GO:0006883~cellular sodium ion homeostasis,5,0.686813187,0.006355023,"P54709, P13637, P05023, P50993, P05026",681,19,16792,6.488909498,0.999999985,0.249699451,0.245815826
GOTERM_BP_DIRECT,GO:0006986~response to unfolded protein,7,0.961538462,0.006528164,"Q9BS26, P04792, P25685, P10809, P07996, Q9BUN8, O14657",681,42,16792,4.109642682,0.999999991,0.252988705,0.249053922
GOTERM_BP_DIRECT,GO:1903779~regulation of cardiac conduction,8,1.098901099,0.007164312,"Q93084, P54709, P13637, P16615, O14983, P05023, P50993, P05026",681,56,16792,3.522550871,0.999999999,0.270443675,0.266237411
GOTERM_BP_DIRECT,GO:0098869~cellular oxidant detoxification,9,1.236263736,0.007169769,"Q9BRX8, Q9Y2Q3, Q99497, Q6DKJ4, P30041, Q13162, P30044, P78417, P30048",681,70,16792,3.170295784,0.999999999,0.270443675,0.266237411
GOTERM_BP_DIRECT,GO:0043434~response to peptide hormone,7,0.961538462,0.008207219,"P49770, P02452, O75150, P42224, P16615, P09486, P35613",681,44,16792,3.922840742,1,0.301535372,0.296845533
GOTERM_BP_DIRECT,GO:0007077~mitotic nuclear envelope disassembly,7,0.961538462,0.008207219,"P37198, Q99567, O75531, Q5SRE5, Q8TD19, P78406, Q8WUM0",681,44,16792,3.922840742,1,0.301535372,0.296845533
GOTERM_BP_DIRECT,GO:0006098~pentose-phosphate shunt,4,0.549450549,0.008549634,"O95336, P52209, P49247, P11413",681,11,16792,8.966493125,1,0.308376096,0.303579861
GOTERM_BP_DIRECT,GO:0015991~ATP hydrolysis coupled proton transport,6,0.824175824,0.008720427,"P25705, P13637, Q15904, P05023, P50993, P06576",681,32,16792,4.623348018,1,0.308376096,0.303579861
GOTERM_BP_DIRECT,GO:0032212~positive regulation of telomere maintenance via telomerase,6,0.824175824,0.008720427,"P17987, P50991, P78371, P49368, P35222, P40227",681,32,16792,4.623348018,1,0.308376096,0.303579861
GOTERM_BP_DIRECT,GO:0006084~acetyl-CoA metabolic process,3,0.412087912,0.0093044,"P49327, Q13085, O00763",681,4,16792,18.49339207,1,0.321001791,0.316009186
GOTERM_BP_DIRECT,GO:0090666~scaRNA localization to Cajal body,3,0.412087912,0.0093044,"P17987, P50991, P78371",681,4,16792,18.49339207,1,0.321001791,0.316009186
GOTERM_BP_DIRECT,GO:0043171~peptide catabolic process,5,0.686813187,0.010896024,"P55786, Q9UIQ6, Q96KP4, Q9NZ08, Q6P179",681,22,16792,5.604058203,1,0.368119524,0.362394088
GOTERM_BP_DIRECT,GO:0055119~relaxation of cardiac muscle,4,0.549450549,0.011060502,"P16615, P05023, P50993, P05026",681,12,16792,8.219285365,1,0.368119524,0.362394088
GOTERM_BP_DIRECT,GO:0006107~oxaloacetate metabolic process,4,0.549450549,0.011060502,"P00505, Q16822, P17174, P40925",681,12,16792,8.219285365,1,0.368119524,0.362394088
GOTERM_BP_DIRECT,GO:0043588~skin development,6,0.824175824,0.011277953,"P16144, P23229, P14923, P20908, Q6P1M0, P26006",681,34,16792,4.35138637,1,0.370992211,0.365222095
GOTERM_BP_DIRECT,GO:0071902~positive regulation of protein serine/threonine kinase activity,6,0.824175824,0.012730073,"P36507, Q9Y376, Q8N122, Q02750, Q13043, P11234",681,35,16792,4.227061045,1,0.413946858,0.40750866
GOTERM_BP_DIRECT,GO:0009168~purine ribonucleoside monophosphate biosynthetic process,4,0.549450549,0.01395198,"O15067, P31939, P22234, P12268",681,13,16792,7.587032644,1,0.438740079,0.431916267
GOTERM_BP_DIRECT,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,4,0.549450549,0.01395198,"P13637, P05023, P50993, P05026",681,13,16792,7.587032644,1,0.438740079,0.431916267
GOTERM_BP_DIRECT,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,14,1.923076923,0.013957797,"Q13049, Q14258, Q7Z434, O75179, P0CG08, P35222, P37198, Q99584, P08134, P06241, P21980, Q99836, Q9H0F6, P62942",681,161,16792,2.144161399,1,0.438740079,0.431916267
GOTERM_BP_DIRECT,GO:0006446~regulation of translational initiation,6,0.824175824,0.014303522,"P49770, Q13347, O75822, O43432, P55010, P04792",681,36,16792,4.109642682,1,0.444666622,0.437750634
GOTERM_BP_DIRECT,GO:0009156~ribonucleoside monophosphate biosynthetic process,3,0.412087912,0.015092722,"P21108, O15067, P60891",681,5,16792,14.79471366,1,0.459110864,0.451970221
GOTERM_BP_DIRECT,GO:0031325~positive regulation of cellular metabolic process,3,0.412087912,0.015092722,"P49327, Q13085, O00763",681,5,16792,14.79471366,1,0.459110864,0.451970221
GOTERM_BP_DIRECT,GO:0042060~wound healing,9,1.236263736,0.015517929,"P28300, P09619, P15924, P24821, Q13308, P09486, Q9UPN3, Q13153, P02751",681,80,16792,2.774008811,1,0.467023625,0.459759913
GOTERM_BP_DIRECT,GO:0075733~intracellular transport of virus,7,0.961538462,0.016520996,"P37198, Q99567, Q5SRE5, Q99816, P78406, A5D8V6, Q8WUM0",681,51,16792,3.384411621,1,0.491977858,0.484326028
GOTERM_BP_DIRECT,GO:0070208~protein heterotrimerization,4,0.549450549,0.017231304,"P37198, P02452, P12109, P08123",681,14,16792,7.045101741,1,0.502550104,0.494733842
